SECTIONS,shipmonth,weight,status,region,TITLED,wgtadj,jstatus,jprice,jsqft,jbedroom,price,sqft,jtitle,jlocation,jfoundation,jsecured,bedrooms,location,foundation,secured,controlid
2,201609,6.15,2,1,2,1.0426730181784527,R,R,R,R,97000,1800,R,R,R,R,3,1,3,1,16090051
2,201609,6.15,2,1,1,1.0426730181784527,R,R,R,R,185000,1800,R,R,R,R,1,1,3,1,16090052
2,201609,6.15,1,1,9,1.0426730181784527,R,R,R,R,118000,2000,9,9,9,9,1,9,9,9,16090053
2,201609,6.15,2,1,1,1.0426730181784527,R,R,R,R,110000,2000,R,R,R,R,3,3,1,9,16090054
1,201609,14.2545,2,2,2,0.9102554617405921,R,R,R,R,27800,700,R,R,R,R,1,1,1,9,16090055
1,201609,14.2545,2,2,1,0.9102554617405921,I,I,I,I,36000,700,I,I,I,I,1,1,3,1,16090056
1,201609,14.2545,2,2,3,0.9102554617405921,R,R,R,R,34000,700,R,R,R,R,1,1,1,9,16090057
1,201609,14.2545,1,2,9,0.9102554617405921,I,I,I,I,39000,700,9,9,9,9,1,9,9,9,16090058
1,201609,14.2545,2,2,2,0.9102554617405921,R,R,R,R,48000,700,R,R,R,R,1,1,3,1,16090059
1,201609,14.2545,1,2,9,0.9102554617405921,R,R,R,R,33000,700,9,9,9,9,1,9,9,9,16090060
1,201609,14.2545,1,2,9,0.9102554617405921,I,I,I,I,42000,700,9,9,9,9,1,9,9,9,16090061
1,201609,14.2545,2,2,2,0.9102554617405921,R,R,R,R,27800,900,R,R,R,R,3,1,3,1,16090062
1,201609,14.2545,1,2,9,0.9102554617405921,R,R,R,R,39000,900,9,9,9,9,3,9,9,9,16090063
1,201609,14.2545,1,2,9,0.9102554617405921,R,I,R,R,45000,900,9,9,9,9,3,9,9,9,16090064
1,201609,14.2545,2,2,2,0.9102554617405921,I,I,I,I,45000,900,I,I,I,I,3,3,1,9,16090065
1,201609,14.2545,2,2,3,0.9102554617405921,I,I,I,I,45000,900,I,I,I,I,3,1,2,1,16090066
1,201609,14.2545,2,2,1,0.9102554617405921,R,R,R,R,35000,1000,R,R,R,R,3,1,3,1,16090067
1,201609,14.2545,2,2,2,0.9102554617405921,R,R,R,R,42000,1000,R,R,R,R,1,1,1,9,16090068
1,201609,14.2545,2,2,2,0.9102554617405921,I,I,I,I,46000,1000,I,I,I,I,3,1,3,1,16090069
1,201609,14.2545,2,2,2,0.9102554617405921,I,I,I,I,46000,1000,I,I,I,I,3,1,3,1,16090070
1,201609,14.2545,2,2,3,0.9102554617405921,R,I,R,R,46000,1000,R,R,R,R,3,1,2,1,16090071
